x,y,time,yaw,velocity
0,0,42756576,-172.55,0
0,0,42756794,-172.56,0
0,0,42757028,-172.34,0
0,0,42757247,-172.58,0
0.008641739,-0.019338881,42757465,-171.76,0.333724005
0.118817545,-0.026155697,42757699,-169.82,0.682977558
0.0993117,0.115135045,42757918,-168.97,0.624037784
0.090124948,0.241481665,42758136,-169.64,0.551222944
0.179652527,0.276626553,42758370,-173.14,0.561548987
0.186802639,0.227350905,42758588,-177.47,0.556244205
0.193627271,0.323099427,42758822,177.1,0.600184865
0.19589287,0.31037856,42759041,171.21,0.534080928
0.183439266,0.308253246,42759275,164.69,0.500417187
0.170314981,0.317376955,42759509,157.96,0.51770185
0.166829723,0.308073755,42759727,151.2,0.522238779
0.164553416,0.30153768,42759946,144.26,0.503627276
0.201753802,0.340796116,42760180,139.99,0.581213099
0.191523587,0.287844492,42760398,135.75,0.563339803
0.173583378,0.279190056,42760616,130.24,0.5237873
0.15026997,0.30294241,42760850,124.99,0.517376932
0.156710618,0.306036867,42761069,118.88,0.495206595
0.162262868,0.293683239,42761287,112.13,0.492347549
0.171372855,0.290622642,42761521,105.33,0.482548632
0.195144512,0.295067199,42761740,96.91,0.497497835
0.178665911,0.299423711,42761958,88.97,0.456452886
0.197901467,0.282255612,42762192,78.19,0.42572934
0.185861546,0.268135534,42762410,67.49,0.440752404
0.191906969,0.265122773,42762629,54.39,0.415396277
0.20117233,0.279817623,42762863,40.42,0.385602516
0.200854813,0.273029182,42763081,28.42,0.549142164
0.1983173,0.249534024,42763331,17.02,0.668937446
0.172547366,0.262647817,42763549,6.78,0.746246752
0.204456591,0.253250464,42763768,-2.63,0.697029802
0.209949124,0.269836043,42764002,-10.58,0.645539477
0.219453731,0.283293316,42764220,-17.01,0.672758906
0.223125684,0.229618959,42764438,-21.45,0.786597245
0.158507334,0.236396463,42764672,-26.39,0.782366889
0.120020544,0.278807129,42764891,-31.24,0.755364
0.132833136,0.276802419,42765109,-36.86,0.64310538
0.139934873,0.280675605,42765343,-43.62,0.507398797
0.15862852,0.284143998,42765562,-49.21,0.514685065
0.153043992,0.286467523,42765780,-55.59,0.523011893
0.15337043,0.282138765,42766014,-61.84,0.538148566
0.142344083,0.27536552,42766232,-68.75,0.519060077
0.145698416,0.262491747,42766451,-76.16,0.518570295
0.178020983,0.265276852,42766685,-84.53,0.524398163
0.154405462,0.274726882,42766903,-93.84,0.440007426
0.170090747,0.266320596,42767137,-103.34,0.48783149
0.150076993,0.270607821,42767356,-112.97,0.413866913
0.16481811,0.27219243,42767574,-120.62,0.396705444
0.171663901,0.241810986,42767824,-128.6,0.431335439
0.15661836,0.246511125,42768042,-136.55,0.414213506
0.16831363,0.25237234,42768260,-145.84,0.356425991
0.178532002,0.249445403,42768494,-153.14,0.482642806
0.183681165,0.268013558,42768713,-158.78,0.601206208
0.102901624,0.249025316,42768931,-162.57,0.695168443
0.126799103,0.204050944,42769165,-167.35,0.646636616
0.151329933,0.254123287,42769384,-171.66,0.598080227
0.200175445,0.233425184,42769602,-176.21,0.519550785
0.121244039,0.320269945,42769836,-178.19,0.620982231
0.049516109,0.448572226,42770054,-177.93,0.712697907
-0.043325407,0.582752247,42770273,-178.2,0.771505767
0.003034994,0.727972965,42770507,-178.8,0.658342004
-0.008067966,0.862448583,42770725,-178.53,0.595129765
0.032323493,0.969562675,42770944,-179.53,0.47011914
0.108409219,1.031441518,42771178,-178.84,0.339426535
0.078668411,1.093702136,42771396,-177.51,0.339426535
0.024236346,1.078208438,42771630,-176.11,0.229146327
0.018689731,1.030783934,42771848,-175.09,0.229146327
